year,sex,name,n,rank,nation
1998,M,Harvey,596,91,England & Wales
1998,F,Yasmin,564,92,England & Wales
1998,M,Tom,579,92,England & Wales
1998,F,Freya,563,93,England & Wales
1998,F,Morgan,563,93,England & Wales
1998,F,Robyn,563,93,England & Wales
1998,M,Christian,575,93,England & Wales
1998,M,Kane,574,94,England & Wales
1998,M,Shane,568,95,England & Wales
1998,F,Isabel,544,96,England & Wales
1998,M,Leon,564,96,England & Wales
1998,F,Maisie,540,97,England & Wales
1998,M,Shaun,558,97,England & Wales
1998,F,Poppy,534,98,England & Wales
1998,M,Corey,545,98,England & Wales
1998,M,Ellis,545,98,England & Wales
1998,F,Rachael,530,99,England & Wales
1998,F,Chantelle,520,100,England & Wales
1998,M,Kai,528,100,England & Wales
1999,F,Chloe,9038,1,England & Wales
1999,M,Jack,9785,1,England & Wales
1999,F,Emily,6760,2,England & Wales
1999,M,Thomas,9454,2,England & Wales
1999,F,Megan,6444,3,England & Wales
1999,M,James,8748,3,England & Wales
1999,F,Olivia,5250,4,England & Wales
1999,M,Joshua,7275,4,England & Wales
1999,F,Sophie,5031,5,England & Wales
1999,M,Daniel,6935,5,England & Wales
1999,F,Charlotte,4964,6,England & Wales
1999,M,Matthew,6152,6,England & Wales
1999,F,Lauren,4889,7,England & Wales
1999,M,Samuel,6123,7,England & Wales
1999,F,Jessica,4799,8,England & Wales
1999,M,Joseph,5875,8,England & Wales
1999,F,Rebecca,4624,9,England & Wales
1999,M,Callum,5587,9,England & Wales
1999,F,Hannah,4351,10,England & Wales
1999,M,William,5287,10,England & Wales
1999,F,Bethany,4072,11,England & Wales
1999,M,Ryan,5080,11,England & Wales
1999,F,Georgia,4045,12,England & Wales
1999,M,Luke,4982,12,England & Wales
1999,F,Lucy,4037,13,England & Wales
1999,M,Lewis,4916,13,England & Wales
1999,F,Amy,3881,14,England & Wales
1999,M,Harry,4914,14,England & Wales
1999,F,Katie,3474,15,England & Wales
1999,M,Benjamin,4559,15,England & Wales
1999,F,Ellie,3243,16,England & Wales
1999,M,Jordan,4466,16,England & Wales
1999,F,Emma,2920,17,England & Wales
